"chain","project","symbol","tvlUsd","apyBase","apyReward","apy","rewardTokens","pool","apyPct1D","apyPct7D","apyPct30D","stablecoin","ilRisk","exposure","predictions","poolMeta","mu","sigma","count","outlier","underlyingTokens","il7d","apyBase7d","apyMean30d","volumeUsd1d","volumeUsd7d","apyBaseInception"
"Aptos","echelon-market","THL",1157311,0.33962,0,0.33962,"[]","c0f75dba-9c3f-490a-992c-7874d1b881aa",0.00027,,,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0.33957,0,2,false,"[""0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615::thl_coin::THL""]",,,0.33947,,,
"Aptos","meso-finance","APT",1266894,0.33424,,0.33424,,"fed2d19b-1855-4f0c-a01a-b554a21d9b6f",-0.0002,-0.00346,-0.03366,false,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":52,""binnedConfidence"":1}",,0.68619,0.06198,192,false,,,,0.34733,,,
"Aptos","cellana-finance","STAPT-APT",2021961,0,0.30264,0.30264,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","a42ab8d8-5ed6-4c93-ae36-ff05bcd27d09",0.00236,0.17759,0.05962,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":84,""binnedConfidence"":3}",,3.05033,0.20841,357,false,,,,0.25261,,,
"Aptos","thalaswap","USDC-USDT",748591,0.28195,0,0.28195,"[]","5481b91e-7712-4373-a969-d77f78b88942",-1.36259,,,true,"no","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0.41419,0.00976,2,false,"[""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC"",""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDT""]",,,0.88086,,,
"Aptos","cellana-finance","UNDEFINED-APT",18333,0,0.24149,0.24149,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","28061a18-0d6d-4fc3-ae20-fc0d63ed5059",,0.23571,-1.4232,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":70,""binnedConfidence"":2}",,0.31693,0.11934,174,false,,,,0.43353,,,
"Aptos","cellana-finance","APE-APT",11020,0,0.19926,0.19926,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","e68f892e-33e7-4e67-bdb2-8c9470b9e0f1",-0.00053,0.01077,,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":51,""binnedConfidence"":1}",,0.15861,0.0023,26,false,,,,0.15601,,,
"Aptos","cellana-finance","BUBBLES-APT",24137,0,0.15706,0.15706,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","580d0bea-e176-4218-867a-710bc75493b9",0.00117,0.05862,-0.00195,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":64,""binnedConfidence"":2}",,0.64924,0.04474,150,false,,,,0.10314,,,
"Aptos","cellana-finance","ZAAPTOSCOIN-APT",27458,0,0.06965,0.06965,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","7ab48f94-9a73-4b71-a32f-2aaef42dc671",0.00065,0.03759,-0.24495,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":64,""binnedConfidence"":2}",,1.91509,0.20958,269,false,,,,0.09032,,,
"Aptos","cellana-finance","THAPT-APT",1887787,0,0.02104,0.02104,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","aec0b58b-f60a-4cc3-9911-166f3892b796",0.00002,0.00822,-0.03196,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":71,""binnedConfidence"":2}",,2.25931,0.26677,357,false,,,,0.02556,,,
"Aptos","cellana-finance","APT-STHAPT",1886745,0,0.00673,0.00673,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","9d61baf9-55fa-4a83-8114-94b8b0556e63",0.00001,0.00264,-0.00454,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":74,""binnedConfidence"":2}",,0.60651,0.23744,349,false,,,,0.00847,,,
"Aptos","cellana-finance","CELL-APE",1834406,0,0.0031,0.0031,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","46a9e966-cd7e-4cf7-b584-276de464a69e",-0.00002,0,,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":68,""binnedConfidence"":2}",,0.0029,0.00004,26,false,,,,0.00286,,,
"Aptos","cellana-finance","BUBBLES-APE",3631976,0,0.00155,0.00155,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","569e2221-05ac-4598-a5a6-b4fcd299e6c0",-0.00001,0.0006,,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":73,""binnedConfidence"":2}",,0.00082,0.00002,26,false,,,,0.00079,,,
"Aptos","echelon-market","ABTC",3390518,0.00112,0,0.00112,"[]","5209441f-c368-4eaf-ae4d-659e05cb78de",-0.00003,,,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0.00112,0,2,false,"[""0x4e1854f6d332c9525e258fb6e66f84b6af8aba687bbcb832a24768c4e175feec::abtc::ABTC""]",,,0.00113,,,
"Aptos","aries-markets","CAKE",3438418,0.00108,,0.00108,,"496da06e-edbf-4e95-a188-975029986aba",0,-0.00004,-0.00068,false,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":68,""binnedConfidence"":2}",,0.35376,0.06535,396,false,,,,0.0013,,,
"Aptos","cellana-finance","TRUAPT-APT",8815187,0,0.00085,0.00085,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","c27c5dd0-f82f-4bcd-9bb8-ff04ad51107e",0.00001,0.00061,0.00057,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":86,""binnedConfidence"":3}",,0.00386,0.00028,158,false,,,,0.00031,,,
"Aptos","aries-markets","STAPT",81704726,0.00005,,0.00005,,"23843c50-687f-4863-a9bb-0c625d4d92a3",0,0.00001,0.00002,false,"no","single","{""predictedClass"":""Down"",""predictedProbability"":52,""binnedConfidence"":1}",,0.00006,0,396,false,,,,0.00003,,,
"Aptos","echelon-market","SBTC",68694621,0,0,0,"[]","2281d0f8-0d11-4270-a451-0eb7ca39639e",0,,,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0,0,2,false,"[""0x5dee1d4b13fae338a1e1780f9ad2709a010e824388efd169171a26e3ea9029bb::stakestone_bitcoin::StakeStoneBitcoin""]",,,0,,,
"Aptos","meso-finance","CELL",1357125,0,,0,,"70943198-f150-41f5-9652-cad31dc2e64b",0,0,0,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0.00001,0,192,false,,,,0,,,
"Aptos","thalaswap-v2","APT-AMA",119811,0,0,0,"[]","40854231-58af-4698-b4cc-8a94bd7172e5",0,,,false,"yes","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0,0,2,false,"[""0xa"",""0xd0ab8c2f76cd640455db56ca758a9766a966c88f77920347aac1719edab1df5e""]",,,0,,,
