"chain","project","symbol","tvlUsd","apyBase","apyReward","apy","rewardTokens","pool","apyPct1D","apyPct7D","apyPct30D","stablecoin","ilRisk","exposure","predictions","poolMeta","mu","sigma","count","outlier","underlyingTokens","il7d","apyBase7d","apyMean30d","volumeUsd1d","volumeUsd7d","apyBaseInception"
"Aptos","meso-finance","WBTC",60070,0,7.65232,7.65232,"[""0x1::aptos_coin::AptosCoin""]","03e48909-d33c-4a55-8242-731b945b6a15",-0.11566,-0.64698,7.15758,false,"no","single","{""predictedClass"":""Down"",""predictedProbability"":88,""binnedConfidence"":3}",,5.68773,0.30248,168,false,,,,3.05717,,,
"Aptos","echelon-market","ZUSDC",101980,7.60547,0,7.60547,"[]","b60a2c26-edc2-4f14-b4c9-272baa23eeb5",-7.25138,,,true,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,8.19023,0.04013,2,false,"[""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC""]",,,9.35463,,,
"Aptos","echelon-market","ZUSDT",35712,7.49737,0,7.49737,"[]","acfc157b-e359-440e-b15a-43b33f6696ba",-22.62505,,,true,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,7.48291,0.001,2,false,"[""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDT""]",,,10.48678,,,
"Aptos","tortuga","TAPT",1813091,,,7.41032,,"cafbed21-f8ba-45bb-b552-eca72bdcc1f9",-0.00844,0.01403,-0.03539,false,"no","single","{""predictedClass"":""Down"",""predictedProbability"":56.99999999999999,""binnedConfidence"":1}",,6.95339,0.01251,826,false,,,,7.40365,,,
"Aptos","echelon-market","STHAPT",4197701,0.00487,7.24106,7.24593,"[""0xb30a694a344edee467d9f82330bbe7c3b89f440a1ecd2da1f3bca266560fce69""]","121b78c0-a005-4583-9fa1-e6aa72b5a68e",0.00625,,,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,7.24594,0,2,false,"[""0xfaf4e633ae9eb31366c9ca24214231760926576c7b625313b3688b5e900731f6::staking::StakedThalaAPT""]",,,7.24401,,,
"Aptos","echelon-market","TRUAPT",15337952,0,6.9208,6.9208,"[""0xb30a694a344edee467d9f82330bbe7c3b89f440a1ecd2da1f3bca266560fce69""]","98f748b9-b789-47bf-b47c-db3b81c9eeaf",-0.0642,,,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,6.9529,0.00222,2,false,"[""0xaef6a8c3182e076db72d64324617114cacf9a52f28325edc10b483f7f05da0e7""]",,,6.97371,,,
"Aptos","thalaswap","THL-APT",19660,6.36709,0,6.36709,"[]","bfaac9c7-aad8-4cad-934e-7535aa5822c4",-1.46186,,,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":55.00000000000001,""binnedConfidence"":1}",,14.8423,1.07389,110,false,"[""0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615::thl_coin::THL"",""0x1::aptos_coin::AptosCoin""]",,,7.62664,,,
"Aptos","cellana-finance","USDT-USDC",1614540,0,5.32095,5.32095,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","41070b2f-9a37-4522-8594-7c33cc4447c3",-0.19991,-0.36483,,true,"no","multi","{""predictedClass"":""Down"",""predictedProbability"":56.99999999999999,""binnedConfidence"":1}",,4.00817,0.10936,30,false,,,,4.01413,,,
"Aptos","cellana-finance","USDC-APT",559267,0,5.27125,5.27125,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","a60e5063-41ff-41f6-84a7-273f23c9f75e",-0.02923,-1.49277,-4.48919,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":84,""binnedConfidence"":3}",,31.71787,0.893,366,false,,,,8.41221,,,
"Aptos","thalaswap","USDC-WBTC",758443,5.08188,0,5.08188,"[]","e1496d38-a8de-40b9-8ed7-7ab511a56813",-0.42672,,,false,"yes","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,6.03399,0.06678,2,false,"[""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC"",""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::WBTC""]",,,5.86147,,,
